"Count","Tradelist Count","Name","Edition","Condition","Language","Foil","Tags","Last Modified","Collector Number","Alter","Proxy","Purchase Price"
"1","1","Adventurous Eater // Have a Bite","sos","Near Mint","English","","","2026-05-08 12:02:52.723000","72","False","False",""
"1","1","Aegis Turtle","fdn","Near Mint","English","","","2025-02-11 08:25:16.427000","150","False","False",""
"1","1","Aerial Extortionist","mkc","Near Mint","English","","","2025-12-26 23:09:53.907000","54","False","False",""
"1","1","Aerie Auxiliary","mh3","Near Mint","English","","","2025-02-08 22:59:50.663000","18","False","False",""
"1","1","Aerie Auxiliary","mh3","Near Mint","English","foil","","2025-02-11 08:25:16.427000","18","False","False",""
"1","1","Aesi, Tyrant of Gyre Strait","dsc","Near Mint","English","","","2025-12-25 21:39:38.130000","210","False","False",""
"1","1","Aether Channeler","j25","Near Mint","English","","","2025-03-08 19:06:48.603000","283","False","False",""
"1","1","Aether Gale","dsc","Near Mint","English","","","2025-12-22 04:28:59.933000","109","False","False",""
"1","1","Aether Snap","ncc","Near Mint","English","","","2025-12-25 23:04:41.427000","241","False","False",""
"1","1","Aether Spike","mh3","Near Mint","English","","","2025-02-11 08:25:16.427000","50","False","False",""
"1","1","Aether Syphon","dft","Near Mint","English","","","2026-01-12 23:36:35.140000","38","False","False",""
"1","1","Aether Vial","mma","Near Mint","English","","","2025-07-28 19:53:48.347000","197","False","False",""
"1","1","Aetherize","scd","Near Mint","English","","","2025-12-20 13:06:05.637000","42","False","False",""
"1","1","Aetherize","40k","Near Mint","English","","","2025-12-26 16:24:06.143000","191","False","False",""
"1","1","Aetherize","fdn","Near Mint","English","","","2025-02-11 08:25:16.427000","151","False","False",""
"1","1","Aetherjacket","dft","Near Mint","English","","","2025-02-11 08:25:16.427000","230","False","False",""
"1","1","Affectionate Indrik","fdn","Near Mint","English","","","2025-02-11 08:25:16.427000","211","False","False",""
"1","1","Against All Odds","one","Near Mint","English","","","2025-02-11 08:25:16.427000","1","False","False",""
"1","1","Agent Frank Horrigan","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","89","False","False",""
"1","1","Agent of Kotis","tdm","Near Mint","English","","","2025-07-07 02:33:26.940000","36","False","False",""
"1","1","Agent of Kotis","tdm","Near Mint","English","","","2025-06-11 18:45:53.720000","36","False","False",""
"1","1","Agent of Kotis","tdm","Near Mint","English","","","2025-04-12 21:27:58.097000","36","False","False",""
"1","1","Agent of Kotis","tdm","Near Mint","English","","","2025-04-12 21:46:46.227000","36","False","False",""
"1","1","Agent of the Iron Throne","clb","Near Mint","English","","","2025-03-11 01:15:51.343000","107","False","False","1.29"
"1","1","Aggressive Biomancy","m3c","Near Mint","English","","","2025-12-21 22:14:24.187000","121","False","False",""
"1","1","Aggressive Instinct","j25","Near Mint","English","","","2025-05-25 13:56:55.650000","623","False","False",""
"1","1","Aggressive Negotiations","tdm","Near Mint","English","","","2025-04-12 21:46:51.113000","70","False","False",""
"1","1","Agility Bobblehead","pip","Near Mint","English","","","2025-12-26 16:24:06.143000","126","False","False",""
"1","1","Ainok Strike Leader","tdc","Near Mint","English","","","2025-12-26 23:09:53.907000","11","False","False",""
"1","1","Ainok Wayfarer","tdm","Near Mint","English","","","2025-04-12 21:46:51.113000","134","False","False",""
"1","1","Ainok Wayfarer","tdm","Near Mint","English","","","2025-04-12 21:26:52.827000","134","False","False",""
"1","1","Air Response Unit","dft","Near Mint","English","","","2026-01-12 23:13:30.630000","1","False","False",""
"1","1","Air Response Unit","dft","Near Mint","English","foil","","2026-01-12 23:36:35.140000","1","False","False",""
"1","1","Airbending Lesson","tla","Near Mint","English","","","2025-12-27 02:04:28.330000","8","False","False",""
"1","1","Airlift Chaplain","bro","Near Mint","English","","","2025-08-17 02:32:30.037000","2","False","False",""
"1","1","Airship Crash","fin","Near Mint","English","","","2025-08-17 01:57:00.577000","171","False","False",""
"1","1","Airship Engine Room","tla","Near Mint","English","","","2025-12-27 01:55:49.673000","265","False","False",""
"1","1","Ajani, Caller of the Pride","scd","Near Mint","English","","","2025-12-20 13:07:01.870000","6","False","False",""
"1","1","Akoum Hellkite","scd","Near Mint","English","","","2025-12-20 13:07:15.227000","123","False","False",""
"1","1","Akoum Refuge","scd","Near Mint","English","","","2025-11-20 20:51:48.867000","289","False","False",""
"2","2","Alacrian Jaguar","dft","Near Mint","English","","","2026-01-12 22:39:02.787000","152","False","False",""
"1","1","Alacrian Jaguar","dft","Near Mint","English","foil","","2026-01-12 23:36:35.140000","152","False","False",""
"1","1","Alandra, Sky Dreamer","mkc","Near Mint","English","","","2025-12-26 23:09:53.907000","94","False","False",""
"1","1","Alchemist's Assistant","tdm","Near Mint","English","","","2025-04-12 21:46:51.113000","71","False","False",""
"1","1","Alchemist's Refuge","plst","Near Mint","English","foil","","2025-08-30 16:37:13.577000","AVR-225","False","False","2.64"
"1","1","Alchemist's Refuge","soc","Near Mint","English","","","2026-05-08 11:05:31.203000","360","False","False",""
"1","1","Alchemist's Retrieval","vow","Near Mint","English","foil","","2026-02-24 14:18:54.997000","47","False","False","0.27"
"1","1","Alela, Artful Provocateur","brc","Near Mint","English","","","2025-12-25 23:47:11.300000","119","False","False",""
"1","1","Alesha, Who Laughs at Fate","fdn","Near Mint","English","foil","","2025-08-30 16:38:13.703000","115","False","False",""
"1","1","Alesha's Legacy","tdm","Near Mint","English","","","2025-04-12 21:46:46.227000","72","False","False",""
"1","1","Alien","tpip","Near Mint","English","","","2026-02-25 02:50:24.000000","6","False","False",""
"1","1","Alien","tpip","Near Mint","English","","","2026-02-16 05:47:52.607000","6","False","False",""
"1","1","Alien Symbiosis","spm","Near Mint","English","","","2026-02-06 01:41:37.653000","50","False","False",""
"1","1","All That Glitters","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","155","False","False",""
"1","1","All-Fates Scroll","eoe","Near Mint","English","","","2025-08-15 23:44:28.683000","234","False","False",""
"1","1","All-Fates Scroll","eoe","Near Mint","English","","","2025-08-17 03:03:26.607000","234","False","False",""
"1","1","All-Fates Scroll","eoe","Near Mint","English","","","2025-08-17 02:55:43.280000","234","False","False",""
"1","1","All-Fates Stalker","eoe","Near Mint","English","","","2026-01-15 15:56:38.333000","3","False","False",""
"1","1","Ally","ttla","Near Mint","English","","","2026-02-17 11:47:33.627000","8","False","False",""
"1","1","Ally","ttla","Near Mint","English","","","2026-02-17 11:47:33.627000","4","False","False",""
"1","1","Ally","ttla","Near Mint","English","","","2026-02-25 01:38:27.597000","5","False","False",""
"1","1","Almost Perfect","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","90","False","False",""
"1","1","Alpha Deathclaw","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","91","False","False",""
"1","1","Alpharael, Dreaming Acolyte","eoe","Near Mint","English","","","2025-08-15 23:44:34.140000","212","False","False",""
"1","1","Alpharael, Stonechosen","eoe","Near Mint","English","","","2026-02-18 07:52:27.570000","87","False","False","2.02"
"1","1","Altar of Dementia","mh1","Near Mint","English","","","2025-08-19 18:55:05.627000","218","False","False","5.39"
"1","1","Altar of the Brood","slc","Near Mint","English","","","2025-12-26 11:22:41.920000","1","False","False",""
"1","1","Altar of the Goyf","m3c","Near Mint","English","","","2025-12-21 22:15:33.117000","282","False","False",""
"1","1","Altered Ego","soc","Near Mint","English","","","2026-05-08 11:49:04.560000","292","False","False",""
"1","1","Altered Ego","soi","Near Mint","English","","","2025-08-30 16:37:13.577000","241","False","False",""
"1","1","Amazing Acrobatics","spm","Near Mint","English","","","2026-02-06 01:41:37.653000","25","False","False",""
"1","1","Ambition's Cost","scd","Near Mint","English","","","2025-12-20 13:07:15.227000","66","False","False",""
"1","1","Ambulatory Edifice","one","Near Mint","English","foil","","2025-02-11 08:25:16.427000","79","False","False",""
"1","1","Ambulatory Edifice","one","Near Mint","English","","","2024-11-28 06:26:13.653000","79","False","False",""
"1","1","Aminatou, Veil Piercer","dsc","Near Mint","English","foil","","2025-12-25 16:19:37.967000","1","False","False",""
"1","1","Aminatou's Augury","dsc","Near Mint","English","","","2025-12-22 04:28:46.833000","71","False","False",""
"1","1","Amphibian Downpour","mh3","Near Mint","English","","","2025-07-24 16:25:10.740000","51","False","False",""
"1","1","Amphin Mutineer","mkc","Near Mint","English","","","2025-12-20 13:12:20.170000","95","False","False",""
"1","1","Amrou Scout","tsr","Near Mint","English","","","2025-08-17 02:32:30.037000","1","False","False",""
"1","1","An Offer You Can't Refuse","snc","Near Mint","English","","","2025-02-10 13:32:31.687000","51","False","False","2.95"
"1","1","Anafenza, Unyielding Lineage","tdm","Near Mint","English","","","2026-01-17 08:09:57.993000","2","False","False",""
"1","1","Ancestral Vision","tsr","Near Mint","English","","","2025-07-24 16:25:10.740000","52","False","False",""
"1","1","Ancient Cellarspawn","dsc","Near Mint","English","","","2025-12-25 21:39:38.130000","16","False","False",""
"1","1","Ancient Den","brc","Near Mint","English","","","2025-12-26 23:09:53.907000","172","False","False",""
"1","1","Ancient Tomb","eos","Near Mint","English","","","2025-08-19 18:55:05.627000","1","False","False","80.87"
"1","1","Angel","ttdc","Near Mint","English","","","2026-02-25 01:38:27.597000","2","False","False",""
"1","1","Angel","tdsc","Near Mint","English","","","2026-02-16 05:47:52.607000","2","False","False",""
"1","1","Angel","tdsc","Near Mint","English","","","2026-02-25 01:38:49.203000","2","False","False",""
"1","1","Angel","tdsc","Near Mint","English","","","2026-02-25 01:33:43.830000","2","False","False",""
"1","1","Angel of Finality","fdn","Near Mint","English","","","2025-02-11 08:25:16.427000","136","False","False",""
"1","1","Angel of Invention","tdc","Near Mint","English","","","2025-12-25 23:27:31.760000","109","False","False",""
"1","1","Angel of the Ruins","brc","Near Mint","English","","","2026-01-17 08:49:19.037000","68","False","False",""
"1","1","Angelic Purge","inr","Near Mint","English","","","2025-08-17 02:32:30.037000","333","False","False",""
"1","1","Angelic Rocket","ust","Near Mint","English","","","2025-06-11 00:32:00.917000","139","False","False",""
"1","1","Angel's Grace","mma","Near Mint","English","","","2025-08-23 13:59:47.297000","4","False","False","5.00"
"1","1","Anger","m3c","Near Mint","English","","","2025-12-22 12:58:23.480000","208","False","False",""
"1","1","Angler Turtle","scd","Near Mint","English","","","2025-12-20 13:06:05.637000","43","False","False",""
"1","1","Angrath, Captain of Chaos","war","Near Mint","English","","","2026-02-24 16:51:12.733000","227","False","False","0.27"
"1","1","Anguished Unmaking","pip","Near Mint","English","","","2025-08-20 22:57:39.607000","209","False","False",""
"1","1","Animal Friend","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","72","False","False",""
"1","1","Animate Dead","mkc","Near Mint","English","","","2025-08-20 23:02:38.060000","125","False","False",""
"1","1","Animate Library","ust","Near Mint","English","","","2025-06-11 00:32:00.917000","26","False","False",""
"1","1","Animist's Awakening","soc","Near Mint","English","","","2026-05-08 11:49:04.560000","261","False","False",""
"1","1","Animist's Awakening","ori","Good (Lightly Played)","English","","","2025-08-30 16:37:13.577000","169","False","False","1.04"
"1","1","Annihilating Glare","one","Near Mint","English","","","2025-02-11 08:25:16.427000","80","False","False",""
"1","1","Annihilating Glare","one","Near Mint","English","","","2024-11-10 06:23:20.720000","80","False","False",""
"1","1","Annoyed Altisaur","mh3","Near Mint","English","","","2024-11-09 12:39:43.590000","284","False","False",""
"1","1","Annoyed Altisaur","mh3","Near Mint","English","","","2025-02-11 08:25:16.427000","284","False","False",""
"1","1","Annul","eoe","Near Mint","English","","","2025-08-19 18:44:47.930000","46","False","False","0.13"
"1","1","Anoint with Affliction","one","Near Mint","English","","","2024-11-10 06:23:11.973000","81","False","False",""
"1","1","Anoint with Affliction","one","Near Mint","English","","","2025-02-11 08:25:16.427000","81","False","False",""
"1","1","Anthem of Champions // Anthem of Champions","afdn","Near Mint","English","","","2026-01-13 02:50:53.870000","47","False","False",""
"1","1","Anthropede","dsk","Near Mint","English","","","2024-12-26 21:24:57.510000","167","False","False",""
"1","1","Anthropede","dsk","Near Mint","English","","","2025-02-11 08:25:16.427000","167","False","False",""
"1","1","Anticausal Vestige","eoe","Near Mint","English","","","2025-11-25 01:46:54.547000","1","False","False",""
"1","1","Ao, the Dawn Sky","neo","Near Mint","English","","","2025-09-09 20:11:06.930000","2","False","False","2.16"
"1","1","Ape","tm3c","Near Mint","English","","","2026-02-25 02:49:59.590000","14","False","False",""
"1","1","Ape","totc","Near Mint","English","","","2026-02-16 05:48:02.273000","15","False","False",""
"1","1","Ape","ttsr","Near Mint","English","","","2026-02-28 00:35:12.613000","10","False","False",""
"1","1","Apex Devastator","m3c","Near Mint","English","","","2025-12-22 12:58:23.480000","220","False","False",""
"1","1","Apostle of Invasion","one","Near Mint","English","","","2025-02-11 08:25:16.427000","3","False","False",""
"2","2","Apostle of Invasion","one","Near Mint","English","","","2024-11-10 06:29:42.120000","3","False","False",""
"1","1","Apothecary Geist","inr","Near Mint","English","","","2025-08-17 02:32:30.037000","10","False","False",""
"1","1","Apothecary Stomper","fdn","Near Mint","English","","","2025-02-11 08:25:16.427000","99","False","False",""
"1","1","Appeal to Eirdu","ecl","Near Mint","English","","","2026-02-06 02:00:52.383000","5","False","False",""
"1","1","Appendage Amalgam","dsk","Near Mint","English","","","2025-02-11 08:25:16.427000","83","False","False",""
"1","1","Appendage Amalgam","dsk","Near Mint","English","","","2024-12-26 21:27:11.287000","83","False","False",""
"1","1","April O'Neil, Live on the Scene","tmc","Near Mint","English","","","2026-03-09 11:57:39.163000","9","False","False",""
"1","1","Aquitect's Defenses","ecl","Near Mint","English","","","2026-02-06 02:01:14.130000","44","False","False",""
"1","1","Arachnogenesis","dsc","Near Mint","English","","","2025-12-25 21:39:38.130000","169","False","False",""
"1","1","Aradesh, the Founder","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","9","False","False",""
"1","1","Aragorn, the Uniter // Aragorn, the Uniter","altr","Near Mint","English","","","2026-01-13 02:45:08.807000","46","False","False",""
"1","1","Araña, Heart of the Spider","spm","Near Mint","English","","","2026-02-05 17:07:28.883000","213","False","False",""
"1","1","Arashin Sunshield","tdm","Near Mint","English","","","2025-06-11 18:49:46.943000","3","False","False",""
"1","1","Arc Spitter","snc","Near Mint","English","","","2026-01-12 22:25:44.067000","233","False","False",""
"1","1","Arcade Cabinet","tmc","Near Mint","English","","","2026-03-08 22:40:52.887000","36","False","False",""
"1","1","Arcade Gannon","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","92","False","False",""
"1","1","Arcane Bombardment","otc","Near Mint","English","","","2025-12-26 23:09:53.907000","154","False","False",""
"1","1","Arcane Denial","m3c","Near Mint","English","","","2025-12-26 23:36:44.883000","176","False","False",""
"1","1","Arcane Denial","otc","Near Mint","English","","","2026-03-03 03:52:52.540000","89","False","False",""
"1","1","Arcane Denial","dsc","Near Mint","English","","","2025-12-26 23:36:44.883000","110","False","False",""
"1","1","Arcane Epiphany","fdn","Near Mint","English","","","2025-02-11 08:25:16.427000","29","False","False",""
"1","1","Arcane Sanctum","brc","Near Mint","English","","","2025-12-26 01:24:30.883000","173","False","False",""
"1","1","Arcane Sanctum","dsc","Near Mint","English","","","2025-12-22 04:32:22.633000","259","False","False",""
"1","1","Arcane Signet","m3c","Near Mint","English","","","2025-12-21 22:15:33.117000","283","False","False",""
"1","1","Arcane Signet","mkc","Near Mint","English","","","2025-12-25 21:39:52.683000","223","False","False",""
"1","1","Arcane Signet","mkc","Near Mint","English","","","2025-12-20 13:12:20.170000","223","False","False",""
"1","1","Arcane Signet","otc","Near Mint","English","","","2025-12-25 22:34:45.890000","252","False","False",""
"1","1","Arcane Signet","m3c","Near Mint","English","","","2025-08-20 23:03:49.707000","283","False","False",""
"1","1","Arcane Signet","tmc","Near Mint","English","","","2026-03-09 11:57:39.163000","57","False","False",""
"1","1","Arcane Signet","soc","Near Mint","English","","","2026-05-08 11:49:04.560000","127","False","False",""
"1","1","Arcane Signet","ncc","Near Mint","English","","","2025-12-25 22:59:15.073000","360","False","False",""
"1","1","Arcane Signet","pip","Near Mint","English","","","2025-03-06 03:32:31.347000","224","False","False",""
"2","2","Arcane Signet","pip","Near Mint","English","","","2025-11-20 19:08:54.820000","224","False","False",""
"1","1","Arcane Signet","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","224","False","False",""
"1","1","Arcane Signet","dsc","Near Mint","English","","","2025-12-22 11:46:10.653000","92","False","False",""
"1","1","Arcane Signet","dsc","Near Mint","English","","","2025-12-22 11:46:10.653000","92","False","False",""
"1","1","Arcane Signet","dsc","Near Mint","English","","","2025-12-22 04:28:59.933000","92","False","False",""
"1","1","Arcane Signet","brc","Near Mint","English","","","2025-12-26 23:09:53.907000","132","False","False",""
"1","1","Arcane Signet","tdc","Near Mint","English","","","2025-12-25 23:22:42.437000","105","False","False",""
"1","1","Arcane Signet","scd","Near Mint","English","","","2025-11-20 21:11:13.353000","257","False","False",""
"1","1","Arcane Signet","40k","Near Mint","English","","","2025-02-10 13:37:44.843000","227","False","False",""
"1","1","Arcane Signet","scd","Near Mint","English","","","2025-11-20 21:11:13.353000","257","False","False",""
"1","1","Arcane Signet","scd","Near Mint","English","","","2025-12-20 13:07:01.870000","257","False","False",""
"1","1","Arcane Signet","scd","Near Mint","English","","","2025-11-20 21:11:13.353000","257","False","False",""
"1","1","Arcane Signet","scd","Near Mint","English","","","2025-11-20 21:11:13.353000","257","False","False",""
"1","1","Arcbound Condor","mh3","Near Mint","English","","","2025-08-30 16:38:13.703000","81","False","False",""
"1","1","Arcbound Javelineer","mh2","Near Mint","English","","","2025-08-17 02:32:30.037000","2","False","False",""
"1","1","Arcbound Whelp","mh2","Near Mint","English","","","2025-08-17 02:16:26.873000","113","False","False",""
"1","1","Archaic's Agony","sos","Near Mint","English","","","2026-05-08 12:02:52.723000","107","False","False",""
"1","1","Archenemy's Charm","eoe","Near Mint","English","foil","","2025-08-31 16:19:36.423000","88","False","False","1.62"
"1","1","Archetype of Imagination","dsc","Near Mint","English","","","2025-12-22 04:28:46.833000","111","False","False",""
"1","1","Archfiend of Depravity","scd","Near Mint","English","","","2026-01-17 08:07:47.170000","67","False","False",""
"1","1","Archivist","8ed","Near Mint","English","","","2025-08-17 02:28:53.167000","60","False","False",""
"1","1","Archmage Emeritus","otc","Near Mint","English","","","2025-12-26 23:09:53.907000","90","False","False",""
"1","1","Archmage of Runes","fdn","Near Mint","English","","","2025-07-24 16:25:10.740000","30","False","False",""
"1","1","Archon of Cruelty","m3c","Near Mint","English","","","2026-01-17 23:37:22.813000","197","False","False",""
"1","1","Archon of Emeria","znr","Near Mint","English","foil","","2025-08-27 19:08:08.953000","4","False","False","2.70"
"1","1","Archon of Redemption","scd","Near Mint","English","","","2025-12-20 13:06:05.637000","7","False","False",""
"1","1","Ardent Elementalist","mid","Near Mint","English","","","2025-08-17 02:16:26.873000","128","False","False",""
"1","1","Arena Athlete","j25","Near Mint","English","","","2025-05-25 13:56:55.650000","518","False","False",""
"1","1","Argent Dais","mh3","Near Mint","English","","","2026-01-17 08:14:37.367000","20","False","False",""
"1","1","Argentum Masticore","one","Near Mint","English","","","2025-02-11 08:25:16.427000","222","False","False",""
"1","1","Argivian Phalanx","dmu","Near Mint","English","","","2025-08-17 02:32:30.037000","5","False","False",""
"1","1","Arixmethes, Slumbering Isle","dsc","Near Mint","English","","","2025-12-25 16:19:37.967000","211","False","False",""
"1","1","Ark of Hunger","sos","Near Mint","English","","","2026-05-08 12:02:52.723000","173","False","False",""
"1","1","Arlinn, Voice of the Pack","war","Near Mint","English","","","2025-08-17 01:57:00.577000","150","False","False",""
"1","1","Armament Dragon","tdm","Near Mint","English","","","2025-06-11 18:35:16.213000","168","False","False",""
"1","1","Armasaur Guide","fdn","Near Mint","English","","","2025-02-11 08:25:16.427000","3","False","False",""
"1","1","Armasaur Guide","fdn","Near Mint","English","","","2025-02-05 13:23:38.573000","3","False","False",""
"1","1","Armed with Proof","mkc","Near Mint","English","","","2025-12-20 13:12:41.797000","9","False","False",""
"1","1","Armix, Filigree Thrasher","brc","Near Mint","English","","","2025-12-25 23:50:58.330000","103","False","False",""
"1","1","Armored Scrapgorger","one","Near Mint","English","","","2025-02-11 08:25:16.427000","158","False","False",""
"1","1","Armory Paladin","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","93","False","False",""
"1","1","Army of the Damned","scd","Near Mint","English","","","2025-12-26 16:24:06.143000","68","False","False",""
"1","1","Aron, Benalia's Ruin","tdc","Near Mint","English","","","2025-12-25 23:21:42.543000","280","False","False",""
"1","1","Artisan of Kozilek","ncc","Near Mint","English","","","2025-12-25 22:59:15.073000","191","False","False",""
"1","1","Arvinox, the Mind Flail","dsc","Near Mint","English","","","2025-12-22 04:28:46.833000","130","False","False",""
"1","1","Arwen, Mortal Queen","ltr","Near Mint","English","","","2025-07-28 22:08:25.613000","193","False","False",""
"1","1","Arwen's Gift","ltr","Near Mint","English","","","2025-08-17 02:28:53.167000","39","False","False",""
"1","1","Aryel, Knight of Windgrace","cmm","Near Mint","English","","","2025-08-17 01:48:18.500000","336","False","False",""
"1","1","Ascendant Dustspeaker","sos","Near Mint","English","","","2026-05-08 12:02:52.723000","8","False","False",""
"1","1","Ascendant Packleader","vow","Near Mint","English","","","2025-08-17 01:57:00.577000","186","False","False",""
"1","1","Ash Barrens","40k","Near Mint","English","","","2025-02-10 13:37:44.843000","265","False","False",""
"1","1","Ash Barrens","pip","Near Mint","English","","","2025-11-20 14:46:27.920000","253","False","False",""
"1","1","Ash Barrens","pip","Near Mint","English","","","2025-11-20 18:37:46.960000","253","False","False",""
"1","1","Ash Barrens","ncc","Near Mint","English","","","2025-12-26 01:49:44.990000","386","False","False",""
"1","1","Ash Barrens","pip","Near Mint","English","","","2025-11-20 16:24:01.417000","253","False","False",""
"1","1","Ash Barrens","pip","Near Mint","English","","","2025-03-09 18:17:00.523000","253","False","False",""
"1","1","Ash Barrens","tmc","Near Mint","English","","","2026-03-09 11:34:25.013000","60","False","False",""
"1","1","Ash Barrens","mkc","Near Mint","English","","","2025-12-20 13:52:47.830000","248","False","False",""
"1","1","Ash Barrens","dsc","Near Mint","English","","","2025-12-22 04:45:08.467000","260","False","False",""
"1","1","Ash Barrens","dsc","Near Mint","English","","","2025-12-22 04:45:08.467000","260","False","False",""
"1","1","Ash Barrens","dsc","Near Mint","English","","","2025-12-22 04:45:08.467000","260","False","False",""
"1","1","Ash Barrens","brc","Near Mint","English","","","2025-12-26 01:49:44.990000","174","False","False",""
"1","1","Ashaya, Soul of the Wild","dsc","Near Mint","English","","","2025-12-25 21:39:38.130000","170","False","False",""
"1","1","Ashling, Rekindled // Ashling, Rimebound","ecl","Near Mint","English","","","2026-02-05 23:48:45.200000","290","False","False",""
"1","1","Ashnod's Altar","cmm","Near Mint","English","","","2025-07-28 22:05:05.990000","368","False","False",""
"1","1","Ashroot Animist","fdn","Near Mint","English","foil","","2025-02-11 08:25:16.427000","117","False","False",""
"2","2","Aspirant's Ascent","one","Near Mint","English","","","2024-11-10 06:26:58.590000","40","False","False",""
"1","1","Aspirant's Ascent","one","Near Mint","English","","","2025-02-11 08:25:16.427000","40","False","False",""
"1","1","Assassin's Trophy","tmc","Near Mint","English","","","2026-03-09 11:57:39.163000","55","False","False",""
"1","1","Assaultron Dominator","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","54","False","False",""
"1","1","Assemble the Legion","pip","Near Mint","English","","","2025-12-20 13:07:15.227000","210","False","False",""
